Name        Timespan  MJDRange        RMSRes   ToAs  Cadence   Telescopes  DMVariance Noise
J0030+0451       12.7   51275-55924        1.9      1250        6.6       3           Undetermined Undetermined
J0034-0534       11.1   51770-55808        4.4       267       24.0       2             y           n 
J0218+4232       15.2   50370-55924        6.7      1005        7.6       4             y           n 
J0437-4715       14.9   50190-55619        0.3      5052        5.1       1             y           s 
J0610-2100        4.5   54270-55925        5.2       347       10.9       2             n           n 
J0613-0200       13.7   50931-55926        1.2      2940        4.3       6             y           y 
J0621+1002       14.3   50693-55921       11.5       637       10.6       4             y           y 
J0711-6830       17.1   49373-55619        2.0       549       18.2       1             y           n 
J0751+1807       15.3   50363-55948        3.5      1129       10.4       4           Undetermined Undetermined
J0900-3144        4.5   54284-55922        3.4       575        3.1       2           Undetermined Undetermined
J1012+5307       14.4   50647-55924        1.7      2910        6.3       5             y           y 
J1022+1001       15.2   50361-55923        2.2      1375        6.5       5             y           s 
J1024-0719       15.9   50117-55922        5.9       918        8.4       5             y           y 
J1045-4509       17.0   49405-55619        3.3       635       16.9       1             y           n 
J1455-3330        7.4   53217-55926        4.0      1495        5.9       3             y           s 
J1600-3053        9.9   52301-55919        0.8      1697        5.1       4             y           s 
J1603-7202       15.3   50026-55618        2.3       483       19.3       1             y           n 
J1640+2224       15.0   50459-55924        2.0      1139       12.9       5             y           n 
J1643-1224       17.8   49421-55919        2.7      2395        6.9       6             y           s 
J1713+0747       21.2   48850-56598        0.3     19972        5.1       7             y           y 
J1721-2457       10.3   52076-55853       25.5       152       24.9       2             n           n 
J1730-2304       17.8   49421-55920        2.1       563       15.9       4             y           s 
J1732-5049        8.0   52647-55582        2.5       242       18.8       1             y           n 
J1738+0333        4.9   54103-55905        2.6       206       27.7       1             n           n 
J1744-1134       17.0   49729-55925        1.1      2589        8.4       6           Undetermined Undetermined
J1751-2857        5.7   53746-55836        2.4        78       26.8       1             n           n 
J1801-1417        4.8   54184-55920        4.6        86       20.2       2           Undetermined Undetermined
J1802-2124        4.7   54188-55916        4.3       433       24.8       2           Undetermined Undetermined
J1804-2717        5.9   53747-55914        4.5        76       28.9       2       Undetermined     n 
J1824-2452A      5.8    53518-55619        2.4       298       13.6       1             y           y 
J1843-1113        8.7   53156-56331        1.7       186       17.5       3           Undetermined Undetermined
J1853+1303        7.0   53370-55922        1.1       566       24.5       3             n           n 
J1857+0943       26.0   46437-55916        1.3      1641       13.4       6             y           n 
J1909-3744       10.8   53041-56980        0.2      2623        4.4       3             y           n 
J1910+1256        6.9   53370-55886        3.0       597       25.2       3           Undetermined Undetermined
J1911+1347        4.9   54092-55868        0.6        45       40.4       1       Undetermined     n 
J1911-1114        5.7   53815-55880        5.2        81       25.5       2             n           n 
J1918-0642       10.5   52095-55914        1.5      1522       13.4       4             y           n 
J1939+2134       27.1   46024-55924       70.0      3905        4.6       6             y           y 
J1955+2908        5.8   53798-55918        5.0       319       16.6       3             n           n 
J2010-1323        5.0   54086-55917        1.9       296        6.3       2             y           n 
J2019+2425        6.8   53446-55920        8.8        80       31.7       2       Undetermined     n 
J2033+1734        5.5   53894-55917       13.3       130       15.6       2       Undetermined     n 
J2124-3358       17.6   49489-55924        3.0      1115        7.7       3             y           n 
J2129-5721       15.4   49987-55618        1.2       447       19.2       1             y           n
J2145-0750       17.5   49517-55922        1.2      2347        7.0       6             y           y
J2229+2643        5.8   53790-55920        3.8       234        9.6       3             y           n
J2317+1439       14.9   50458-55917        1.6       867       13.5       5             y           n
J2322+2057        5.5   53916-55920        6.9       199       15.0       2       Undetermined     n
