#;NAME;RAJ;DECJ;F0;F1;DIST;EDOT;
;;(hms);(dms);(Hz);(s^-2);(kpc);(ergs/s);
1;J0006+1834;00:06:04.8;+18:34:59;1.441446;-4.357e-15;0.70;2.48e+32;
2;J0007+7303;00:07:01.7;+73:03:07.4;3.165827;-3.612e-12;1.40;4.51e+35;
3;B0011+47;00:14:17.7;+47:46:33.4;0.805997;-3.667e-16;1.82;1.17e+31;
4;J0023+0923;00:23:16.8;+09:23:23.8;327.868852;*;1.00;*;
5;B0021-72C;00:23:50.3;-72:04:31.4;173.708219;1.504e-15;4.00;*;
6;B0021-72D;00:24:13.8;-72:04:43.8;186.651670;1.195e-16;4.00;*;
7;B0021-72E;00:24:11.1;-72:05:20.1;282.779107;-7.877e-15;4.00;8.79e+34;
8;B0021-72F;00:24:03.8;-72:04:42.8;381.158664;-9.371e-15;4.00;1.41e+35;
9;B0021-72G;00:24:07.9;-72:04:39.6;247.501525;2.582e-15;4.00;*;
10;B0021-72H;00:24:06.7;-72:04:06.7;311.493418;1.780e-16;4.00;*;
11;B0021-72I;00:24:07.9;-72:04:39.6;286.944700;3.777e-15;4.00;*;
12;B0021-72J;00:23:59.4;-72:03:58.7;476.046858;2.219e-15;4.00;*;
13;B0021-72L;00:24:03.7;-72:04:56.9;230.087746;6.462e-15;4.00;*;
14;B0021-72M;00:23:54.4;-72:05:30.7;271.987229;2.843e-15;4.00;*;
15;B0021-72N;00:24:09.1;-72:04:28.8;327.444319;2.345e-15;4.00;*;
16;J0024-7204O;00:24:04.6;-72:04:53.7;378.308788;-4.344e-15;4.00;6.49e+34;
17;J0024-7204P;00:24:05.6;-72:04:52.6;274.497457;*;4.00;*;
18;J0024-7204Q;00:24:16.4;-72:04:25.1;247.943237;-2.091e-15;4.00;2.05e+34;
19;J0024-7204R;00:24:05.6;-72:04:52.6;287.318095;*;4.00;*;
20;J0024-7204S;00:24:03.9;-72:04:42.3;353.306209;1.505e-14;4.00;*;
21;J0024-7204T;00:24:08.5;-72:04:38.9;131.778699;-5.101e-15;4.00;2.65e+34;
22;J0024-7204U;00:24:09.8;-72:03:59.6;230.264772;-5.049e-15;4.00;4.59e+34;
23;J0024-7204V;00:24:05.6;-72:04:52.6;207.900208;*;4.00;*;
24;J0024-7204W;00:24:06.0;-72:04:49.0;425.107892;*;4.00;*;
25;J0024-7204X;00:24:05.6;-72:04:52.6;209.599665;*;4.00;*;
26;J0024-7204Y;00:24:05.6;-72:04:52.6;455.236586;*;4.00;*;
27;J0024-7204Z;00:24:05.6;-72:04:52.6;219.587176;*;4.00;*;
28;J0026+6320;00:26:50.5;+63:20:00.8;3.141121;-1.481e-15;13.60;1.84e+32;
29;J0030+0451;00:30:27.4;+04:51:39.7;205.530699;-4.298e-16;0.30;3.49e+33;
30;J0033+57;00:33;+57;3.174603;*;3.34;*;
31;J0033+61;00:33;+61;1.096491;*;1.92;*;
32;J0034-0534;00:34:21.8;-05:34:36.6;532.713430;-1.409e-15;0.98;2.96e+34;
33;B0031-07;00:34:08.8;-07:21:53.4;1.060500;-4.591e-16;1.03;1.92e+31;
34;J0034+69;00:34;+69:43;27.170871;*;3.99;*;
35;B0037+56;00:40:32.3;+57:16:24.9;0.894274;-2.302e-15;4.48;8.13e+31;
36;J0045-7042;00:45:25.6;-70:42:07.1;1.581438;-6.227e-15;62.40;3.89e+32;
37;J0045-7319;00:45:35.1;-73:19:03.0;1.079592;-5.202e-15;62.40;2.22e+32;
38;B0045+33;00:48:33.9;+34:12:08.0;0.821629;-1.589e-15;3.68;5.16e+31;
39;J0051+0423;00:51:30.1;+04:22:49;2.819031;-5.563e-17;0.94;6.19e+30;
40;J0053+69;00:53;+69:39;1.200570;*;8.40;*;
41;J0054+66;00:54;+66;0.719424;*;0.81;*;
42;J0054+69;00:54:28;+69:26;*;*;4.73;*;
43;B0052+51;00:55:45.3;+51:17:24.9;0.472775;-2.132e-15;2.40;3.98e+31;
44;B0053+47;00:56:25.5;+47:56:10.5;2.118480;-1.494e-14;1.00;1.25e+33;
45;J0057-7201;00:57:44.0;-72:01:19;1.354899;-1.836e-16;2.49;9.82e+30;
46;J0058+6125;00:58;+61:25;1.569859;*;5.81;*;
47;J0059+50;00:59;+50:02;1.004007;*;5.79;*;
48;J0100-7211;01:00:43.0;-72:11:33.6;0.124682;-2.923e-13;62.40;1.44e+33;
49;J0101-6422;01:01:11.1;-64:22:30.1;388.628426;-7.793e-16;0.73;1.20e+34;
50;J0102+4839;01:03;+48:00;337.837838;*;4.03;*;
51;B0059+65;01:02:32.9;+65:37:13.4;0.595534;-2.112e-15;2.45;4.97e+31;
52;J0103+54;01:03:37;+54:02;2.822435;*;2.69;*;
53;J0106+4855;01:06:25.0;+48:55:51.8;12.025402;-6.188e-14;7.33;2.94e+34;
54;J0108-1431;01:08:08.3;-14:31:50.1;1.238291;-1.181e-16;0.21;5.77e+30;
55;B0105+65;01:08:22.6;+66:08:34.0;0.779023;-7.920e-15;1.65;2.44e+32;
56;B0105+68;01:08:29.5;+69:05:52.6;0.933604;-4.192e-17;2.59;1.55e+30;
57;J0111-7131;01:11:28.7;-71:31:46.8;1.452345;-1.496e-14;62.40;8.58e+32;
58;J0112+66;01:12;+66:22;0.232491;*;5.25;*;
59;J0113-7220;01:13:11.0;-72:20:32.2;3.068586;-4.575e-14;62.40;5.54e+33;
60;B0114+58;01:17:38.6;+59:14:38.3;9.858135;-5.685e-13;2.14;2.21e+35;
61;J0125+62;01:26;+62:35;0.585400;*;5.10;*;
62;J0131-7310;01:31:28.5;-73:10:09.3;2.872539;-1.453e-14;62.40;1.65e+33;
63;J0133-6957;01:33:32.4;-69:57:29.6;2.157620;-5.586e-16;2.42;4.76e+31;
64;J0134-2937;01:34:18.6;-29:37:16.9;7.301317;-4.178e-15;1.78;1.20e+33;
65;J0136+63;01:36;+63:42;1.392961;*;24.03;*;
66;J0137+1654;01:37:23.8;+16:54:42.1;2.411015;-7.109e-17;2.51;6.77e+30;
67;J0139+5621;01:39:38.5;+56:21:36.8;0.563271;-2.510e-14;5.54;5.58e+32;
68;B0136+57;01:39:19.7;+58:14:31.8;3.670390;-1.443e-13;2.60;2.09e+34;
69;B0138+59;01:41:39.9;+60:09:32.3;0.817696;-2.615e-16;2.30;8.44e+30;
70;J0141+63;01:41;+63:08;21.419753;*;21.68;*;
71;J0146+6145;01:46:22.4;+61:45:02.8;0.115088;-2.640e-14;3.60;1.20e+32;
72;B0144+59;01:47:44.6;+59:22:03.2;5.093689;-6.662e-15;1.91;1.34e+33;
73;B0148-06;01:51:22.7;-06:35:02.8;0.682750;-2.063e-16;1.93;5.56e+30;
74;J0152+0948;01:52:23.7;+09:48:10;0.364080;-2.253e-16;2.30;3.24e+30;
75;B0149-16;01:52:10.8;-16:37:52.9;1.200853;-1.874e-15;0.69;8.88e+31;
76;B0153+39;01:56:55.2;+39:49:29;0.552010;-4.620e-17;4.85;1.01e+30;
77;B0154+61;01:57:49.9;+62:12:25.9;0.425216;-3.416e-14;1.61;5.73e+32;
78;J0158+21;01:58:29;+21:08;1.979022;*;1.45;*;
79;J0201+7005;02:01:41.3;+70:05:18.1;0.741188;-3.029e-15;1.15;8.86e+31;
80;J0205+6449;02:05:37.9;+64:49:41.3;15.217011;-4.487e-11;3.20;2.70e+37;
81;B0203-40;02:06:01.2;-40:28:04.3;1.585917;-3.017e-15;0.88;1.89e+32;
82;J0211-8159;02:11:59.0;-81:59:36.2;0.928218;-2.499e-16;1.83;9.16e+30;
83;J0212+5222;02:12:52.2;+52:22:45;2.656845;-4.659e-14;1.91;4.89e+33;
84;J0214+5222;02:14:55.2;+52:22:40.9;40.691272;-4.951e-16;1.21;7.95e+32;
85;J0215+6218;02:15:56.6;+62:18:33.3;1.821892;-2.198e-15;3.19;1.58e+32;
86;J0218+4232;02:18:06.3;+42:32:17.3;430.461066;-1.434e-14;3.15;2.44e+35;
87;J0229+20;02:29:03;+20:58;1.239311;*;2.97;*;
88;B0226+70;02:31:13.9;+70:26:33.8;0.681747;-1.445e-15;2.25;3.89e+31;
89;J0241+16;02:41:46;+16:04;0.647082;*;1.01;*;
90;J0242+62;02:42:35;+62:56:50;1.689189;*;0.21;*;
91;J0243+6027;02:43;+60:27;0.678887;*;6.99;*;
92;J0244+14;02:44:51;+14:27;0.469903;*;2.73;*;
93;J0248+6021;02:48:18.6;+60:21:34.7;4.606300;-1.169e-12;2.00;2.13e+35;
94;B0254-53;02:55:56.2;-53:04:21.3;2.233596;-1.527e-16;1.15;1.35e+31;
95;B0301+19;03:04:33.1;+19:32:51.4;0.720677;-6.727e-16;0.95;1.91e+31;
96;J0308+74;03:08;+74:00;316.455696;*;0.34;*;
